4线程  smallbank 跨链交易比例0%  每区块300笔交易，区块间隔2秒  执行60s   zipf = 0.8   重试5次交易中止
                         交易数量    提交      中止率     总执行次数      执行时间
myself①                    3200     3166      0.98%                      90s
myself②                    3176     3141      1.08%                      90s
myself③                    3282     3256      0.74%                      90s
spectrum_cross_chain①      3114     3091      0.74%                      70s
spectrum_cross_chain②      3069     3029      1.30%                      70s
spectrum_cross_chain③      3119     3086      1.06%                      70s
2PL ①                      1200     1062      11.50%    2845             60s
2PL ②                      1178     1023      13.16%    2902        
2PL ③                      1198     1072      10.52%    2854                

4线程  smallbank 跨链交易比例5%  每区块300笔交易，区块间隔2秒  执行60s   zipf = 0.8   重试5次交易中止
                         交易数量    提交      中止率     总执行次数      执行时间
myself①                    3200     3166      0.98%                      90s
myself②                    3176     3141      1.08%                      90s
myself③                    3282     3256      0.74%                      90s
spectrum_cross_chain①      3081     672       78.19%                     70s
spectrum_cross_chain②      3009     617       77.67%                     70s
spectrum_cross_chain③      3169     713       77.50%                     70s
2PL ①                      1175     935       20.43%    2933             60s
2PL ②                      1104     886       19.75%    2958         
2PL ③                      1227     1016      17.20%    2903       

4线程  smallbank 跨链交易比例10%  每区块300笔交易，区块间隔2秒  执行60s   zipf = 0.8   重试5次交易中止
                         交易数量    提交      中止率     总执行次数      执行时间
myself①                    2821     2779      1.40%                      90s
myself②                    2964     2934      0.92%                      90s
myself③                    2940     2905      1.26%                      90s
spectrum_cross_chain①      2896     442       84.74%                     70s
spectrum_cross_chain②      2809     384       86.33%                     70s
spectrum_cross_chain③      2963     399       86.53%                     70s
2PL ①                      1143     835       26.95%    3485             60s
2PL ②                      1196     919       23.16%    2847         
2PL ③                      910      624       31.43%    2903       


4线程  smallbank 跨链交易比例15%  每区块300笔交易，区块间隔2秒  执行60s   zipf = 0.8   重试5次交易中止
                         交易数量    提交      中止率     总执行次数      执行时间
myself①                    2915     2883      1.00%                      90s
myself②                    3239     3201      1.09%                      90s
myself③                    3116     3080      1.07%                      90s
spectrum_cross_chain①      2896     248   257    91.44%                     70s
spectrum_cross_chain②      2809     244   250     91.31%                   70s
spectrum_cross_chain③      2963     267   272     90.99%                   70s
2PL ①                      1018     669       34.28%    3285             60s
2PL ②                      1066     784       26.45%    3170         
2PL ③                      1060     754       28.87%    3209       

4线程  smallbank 跨链交易比例20%  每区块300笔交易，区块间隔2秒  执行60s   zipf = 0.8   重试5次交易中止
                         交易数量    提交      中止率     总执行次数      执行时间
myself①                    2625     2602      0.85%                      90s
myself②                    2984     2954      1.02%                      90s
myself③                    2826     2795      1.00%                      90s
spectrum_cross_chain①      2896     149  154    94.85%                        70s
spectrum_cross_chain②      2809     172  176     93.88%                       70s
spectrum_cross_chain③      2963     180  186      93.86%                   70s
2PL ①                      1164     815       29.98%    3616             60s
2PL ②                      1253     785       37.35%    2847         
2PL ③                      1249     837       32.99%    4021       

4线程  smallbank 跨链交易比例25%  每区块300笔交易，区块间隔2秒  执行60s   zipf = 0.8   重试5次交易中止
                         交易数量    提交      中止率     总执行次数      执行时间
myself①                    3019     2974      1.41%                      90s
myself②                    3037     3000      1.23%                      90s
myself③                    2805     2775      0.97%                      90s
spectrum_cross_chain①      2896     165   170    94.30%                        70s
spectrum_cross_chain②      2809     159   164     94.34%                       70s
spectrum_cross_chain③      2963     165   172     94.40%                       70s
2PL ①                      1217     708       41.82%    4249             60s
2PL ②                      1146     697       39.18%    3937         
2PL ③                      1177     630       46.47%    4268      
