4线程  smallbank 跨链交易比例0%  每区块300笔交易，区块间隔2秒  执行60s   zipf = 1.2   重试5次交易中止
                         交易数量    提交      中止率     总执行次数      执行时间
myself①                    3566     3299      8.06%                      90s
myself②                    3211     3000      7.03%                      90s
myself③                    3071     2916      5.24%                      90s
spectrum_cross_chain①      4444     4148         6.66%                    70s
spectrum_cross_chain②      4143     3823           7.72%                  70s
spectrum_cross_chain③      4143     3823      7.72%                     70s
2PL ①                      910     536      41.10%    2845             60s
2PL ②                      907     600      33.85%    2902        
2PL ③                      1080    752     30.37%    2854                

4线程  smallbank 跨链交易比例5%  每区块300笔交易，区块间隔2秒  执行60s   zipf = 1.2   重试5次交易中止
                         交易数量    提交      中止率     总执行次数      执行时间
myself①                    3335     3102      7.47%                      90s
myself②                    2998     2810      6.61%                      90s
myself③                    3262     3029      7.62%                      90s
spectrum_cross_chain①      3081     775  830       74.85%                     70s
spectrum_cross_chain②      3009     754  825     74.94%                     70s
spectrum_cross_chain③      3169     768  817    75.77%                     70s
2PL ①                      998     637       36.17%    2933             60s
2PL ②                      1041     582      44.09%    2958         
2PL ③                      995     535      46.23%    2903       

4线程  smallbank 跨链交易比例10%  每区块300笔交易，区块间隔2秒  执行60s   zipf = 1.2   重试5次交易中止
                         交易数量    提交      中止率     总执行次数      执行时间
myself①                    3198     2997      6.64%                      90s
myself②                    3222     2998      7.40%                      90s
myself③                    3135     2930      7.00%                      90s
spectrum_cross_chain①      4500     352   382s       89.94%%                     70s
spectrum_cross_chain②      3700     368   385      90.05%                     70s
spectrum_cross_chain③      3941     368   398        90.66%                     70s
2PL ①                      1073     584       45.57%    4101             60s
2PL ②                      1112     582       47.66%    2847         
2PL ③                      1358     645      52.50%    2903       


4线程  smallbank 跨链交易比例15%  每区块300笔交易，区块间隔2秒  执行60s   zipf = 1.2   重试5次交易中止
                         交易数量    提交      中止率     总执行次数      执行时间
myself①                    3182     3000      6.07%                      90s
myself②                    3200     3000      6.67%                      90s
myself③                    3119     2893      7.85%                      90s
spectrum_cross_chain①      2896     357   369     87.67%                     70s
spectrum_cross_chain②      2809     325   372    88.43%                     70s
spectrum_cross_chain③      2963     367   396     87.61%                     70s
2PL ①                      1271     609       52.08%    4667             60s
2PL ②                      1206     535       55.64%    4792         
2PL ③                      1283     656       48.87%    3209       

4线程  smallbank 跨链交易比例20%  每区块300笔交易，区块间隔2秒  执行60s   zipf = 1.2   重试5次交易中止
                         交易数量    提交      中止率     总执行次数      执行时间
myself①                    3395     3167      7.10%                      90s
myself②                    3199     2948      8.47%                      90s
myself③                    3215     2999      7.20%                      90s
spectrum_cross_chain①      2896     238  259       91.78%%                     70s
spectrum_cross_chain②      2809     293  311       89.57%%                     70s
spectrum_cross_chain③      2963     218  237     92.64%                     70s
2PL ①                      1414     573       59.48%    3616             60s
2PL ②                      1407     561       60.13%    5407         
2PL ③                      1331     546       58.98%    4856       

4线程  smallbank 跨链交易比例25%  每区块300笔交易，区块间隔2秒  执行60s   zipf = 1.2   重试5次交易中止
                         交易数量    提交      中止率     总执行次数      执行时间
myself①                    3112     2928      6.54%                      90s
myself②                    3031     2856      6.02%                      90s
myself③                    3124     2919      7.02%                      90s
spectrum_cross_chain①      2896     183   197      93.68%                     70s
spectrum_cross_chain②      2809     168   178   94.02%    %                     70s
spectrum_cross_chain③      2963     215   240     92.74%  %                     70s
2PL ①                      1289     488       62.14%    4702             60s
2PL ②                      1292     417       67.72%    5125         
2PL ③                      1291     472       63.44%    5604      
