zipf = 0.8 ctx = 0.0-----------------------------------------
交易ID,开始时间,完成时间,延迟(微秒),类型
1,2984997501834,2984997518959,17125,普通
2,2984997501960,2984997518985,17024,普通
3,2984997501854,2984997519473,17619,普通
4,2984997502163,2984997595088,92925,普通
5,2984997519736,2984997606516,86779,普通
6,2984997519753,2984997606520,86767,普通
7,2984997520148,2984997608199,88051,普通
8,2984997596470,2984997615324,18854,普通
9,2984997607003,2984997703047,96043,普通
10,2984997607218,2984997709776,102558,普通
11,2984997608426,2984997716035,107608,普通
12,2984997700362,2984997795662,95299,普通
13,2984997704149,2984997799240,95091,普通
14,2984997710380,2984997799244,88864,普通
15,2984997716859,2984997806094,89235,普通
16,2984997796156,2984997813663,17506,普通
17,2984997799799,2984997813667,13868,普通
18,2984997800723,2984997902245,101522,普通
19,2984997807261,2984997905232,97971,普通
20,2984997896770,2984997916418,19648,普通
21,2984997896795,2984997995906,99110,普通
22,2984997902829,2984997995912,93083,普通
23,2984997906720,2984998009324,102603,普通
24,2984997916907,2984998011305,94398,普通
25,2984997997038,2984998011308,14269,普通
26,2984997997166,2984998109152,111985,普通
27,2984998010631,2984998115361,104729,普通
28,2984998011751,2984998115368,103617,普通
29,2984998011780,2984998115372,103592,普通
30,2984998109958,2984998191470,81512,普通
31,2984998115682,2984998191696,76013,普通
32,2984998115788,2984998191699,75911,普通
33,2984998116125,2984998191702,75576,普通
34,2984998192046,2984998305657,113610,普通
35,2984998191998,2984998305665,113666,普通
36,2984998192232,2984998305670,113437,普通
37,2984998192288,2984998307253,114965,普通
38,2984998306089,2984998393401,87312,普通
39,2984998306186,2984998402137,95951,普通
40,2984998306509,2984998402141,95632,普通
41,2984998308743,2984998403195,94452,普通
42,2984998393953,2984998407568,13615,普通
43,2984998402496,2984998517319,114822,普通
44,2984998402701,2984998517333,114632,普通
45,2984998404397,2984998517337,112940,普通
46,2984998408023,2984998517343,109320,普通
47,2984998517823,2984998619981,102158,普通
48,2984998517843,2984998619987,102143,普通
49,2984998518060,2984998619992,101931,普通
50,2984998518525,2984998619995,101470,普通
51,2984998620647,2984998686759,66111,普通
52,2984998620658,2984998686764,66105,普通
53,2984998620700,2984998696618,75918,普通
54,2984998620745,2984998696623,75877,普通
55,2984998687043,2984998704834,17790,普通
56,2984998687176,2984998704838,17662,普通
57,2984998697155,2984998842091,144936,普通
58,2984998697745,2984998842097,144352,普通
59,2984998705074,2984998851898,146824,普通
60,2984998833191,2984998851903,18712,普通
61,2984998842716,2984998902490,59773,普通
62,2984998842969,2984998906524,63555,普通
63,2984998852568,2984998906528,53959,普通
64,2984998895171,2984999001973,106802,普通
65,2984998903715,2984999001978,98263,普通
66,2984998906834,2984999004759,97925,普通
67,2984998907478,2984999006981,99503,普通
68,2984999002396,2984999091872,89475,普通
69,2984999002792,2984999116529,113737,普通
70,2984999005602,2984999118738,113135,普通
71,2984999007357,2984999118742,111384,普通
72,2984999092610,2984999126237,33626,普通
73,2984999116814,2984999211258,94444,普通
74,2984999119215,2984999213929,94714,普通
75,2984999119242,2984999223136,103894,普通
76,2984999127590,2984999290997,163406,普通
77,2984999211698,2984999291002,79304,普通
78,2984999214466,2984999291006,76539,普通
79,2984999223491,2984999301127,77635,普通
80,2984999292073,2984999389711,97637,普通
81,2984999292342,2984999389717,97374,普通
82,2984999292266,2984999389721,97455,普通
83,2984999301660,2984999389724,88064,普通
84,2984999390271,2984999456024,65753,普通
85,2984999390310,2984999456031,65720,普通
86,2984999390634,2984999456036,65402,普通
87,2984999390627,2984999456040,65412,普通
88,2984999456472,2984999568521,112048,普通
89,2984999456610,2984999568525,111915,普通
90,2984999456687,2984999579988,123301,普通
91,2984999456964,2984999579993,123028,普通
92,2984999569452,2984999584176,14723,普通
93,2984999569297,2984999584179,14882,普通
94,2984999581716,2984999642829,61112,普通
95,2984999581209,2984999642835,61626,普通
96,2984999584414,2984999642838,58424,普通
97,2984999584924,2984999643986,59062,普通
98,2984999643194,2984999735862,92668,普通
99,2984999643465,2984999740794,97328,普通
100,2984999643588,2984999742358,98769,普通

=== 执行统计 ===
第一笔交易开始时间: 2984997501834 微秒
第100笔交易完成时间: 2984999742358 微秒
前100笔交易总执行时间(包含跨链延迟): 2240524 微秒
前100笔交易总执行时间(不含跨链延迟): 2240524 微秒
交易ID,开始时间,完成时间,延迟(微秒),类型
1,2985116856518,2985116873015,16497,普通
2,2985116856532,2985116873047,16514,普通
3,2985116856482,2985116873050,16568,普通
4,2985116856617,2985116947288,90671,普通
5,2985116873535,2985116955351,81815,普通
6,2985116873667,2985116964286,90619,普通
7,2985116873614,2985116964290,90676,普通
8,2985116948780,2985116964293,15513,普通
9,2985116955516,2985116964297,8780,普通
10,2985116964884,2985117075142,110258,普通
11,2985116964842,2985117075146,110303,普通
12,2985116964925,2985117075148,110223,普通
13,2985116965045,2985117075151,110105,普通
14,2985117075723,2985117156815,81092,普通
15,2985117075768,2985117160297,84528,普通
16,2985117075839,2985117254437,178597,普通
17,2985117075855,2985117254443,178587,普通
18,2985117159262,2985117254446,95184,普通
19,2985117160623,2985117254448,93824,普通
20,2985117254709,2985117355073,100363,普通
21,2985117254898,2985117355078,100179,普通
22,2985117255091,2985117355081,99989,普通
23,2985117255324,2985117355085,99760,普通
24,2985117355498,2985117460156,104657,普通
25,2985117355640,2985117460162,104521,普通
26,2985117355688,2985117460166,104477,普通
27,2985117355712,2985117460947,105235,普通
28,2985117460695,2985117468739,8043,普通
29,2985117460713,2985117545214,84501,普通
30,2985117460727,2985117549523,88795,普通
31,2985117461280,2985117549527,88246,普通
32,2985117469057,2985117549531,80474,普通
33,2985117546087,2985117557247,11160,普通
34,2985117550001,2985117654998,104996,普通
35,2985117549928,2985117655003,105075,普通
36,2985117550178,2985117659723,109545,普通
37,2985117557414,2985117659727,102312,普通
