zipf = 0.8 ctx = 0.0----------------------------------------------------------


交易ID,开始时间,完成时间,延迟(微秒),类型
1,3044078803810,3044079105287,301477,普通
2,3044078803787,3044079105342,301554,普通
3,3044078803955,3044079105347,301391,普通
4,3044078804109,3044079105351,301241,普通
5,3044079106653,3044079500915,394262,普通
6,3044079106583,3044079500921,394337,普通
7,3044079106783,3044079500925,394141,普通
8,3044079106925,3044079504534,397608,普通
9,3044079502068,3044079790162,288094,普通
10,3044079502473,3044079790167,287693,普通
11,3044079503404,3044079790172,286767,普通
12,3044079507290,3044079790175,282885,普通
13,3044079875774,3044080125776,250001,普通
14,3044079878374,3044080331631,453256,普通
15,3044079879584,3044080339657,460072,普通
16,3044079879660,3044080339694,460034,普通
17,3044080126146,3044080708183,582037,普通
18,3044080331991,3044080719568,387577,普通
19,3044080341044,3044080719573,378528,普通
20,3044080342130,3044080719576,377446,普通
21,3044080708635,3044081055331,346695,普通
22,3044080720662,3044081055335,334673,普通
23,3044080723079,3044081162007,438927,普通
24,3044080797097,3044081358990,561893,普通
25,3044081057238,3044081359008,301770,普通
26,3044081058259,3044081451381,393121,普通
27,3044081162344,3044081451387,289043,普通
28,3044081359714,3044081755705,395990,普通
29,3044081360585,3044081768018,407432,普通
30,3044081453991,3044081768025,314033,普通
31,3044081455518,3044081768030,312512,普通
32,3044081756313,3044082224731,468417,普通
33,3044081841571,3044082224737,383165,普通
34,3044081854705,3044082237410,382704,普通
35,3044081854834,3044082237416,382581,普通
36,3044082226175,3044082476445,250269,普通
37,3044082231479,3044082759782,528302,普通
38,3044082240511,3044082759788,519276,普通
39,3044082245816,3044083053110,807294,普通
40,3044082494739,3044083164528,669788,普通
41,3044082762055,3044083166340,404285,普通
42,3044082764156,3044083297931,533774,普通
43,3044083053485,3044083427949,374464,普通
44,3044083164890,3044083539483,374592,普通
45,3044083166839,3044083547749,380909,普通
46,3044083302897,3044083690538,387641,普通
47,3044083428331,3044084073934,645603,普通
48,3044083539917,3044084073939,534021,普通
49,3044083548410,3044084073944,525534,普通
50,3044083690984,3044084073947,382962,普通
51,3044084075324,3044084501433,426109,普通
52,3044084075539,3044084502270,426730,普通
53,3044084176322,3044084502273,325951,普通
54,3044084176355,3044084502277,325922,普通
55,3044084502387,3044084854705,352318,普通
56,3044084504800,3044084866367,361566,普通
57,3044084505381,3044085117957,612576,普通
58,3044084505545,3044085256460,750914,普通
59,3044084855098,3044085256507,401408,普通
60,3044084866724,3044085498926,632202,普通
61,3044085118817,3044085498932,380115,普通
62,3044085257003,3044085650907,393904,普通
63,3044085257445,3044085650912,393466,普通
64,3044085501788,3044085773765,271977,普通
65,3044085501404,3044085781352,279948,普通
66,3044085651649,3044086153131,501482,普通
67,3044085654404,3044086292217,637812,普通
68,3044085774154,3044086312174,538019,普通
69,3044085781864,3044086312180,530315,普通
70,3044086155111,3044086568462,413351,普通
71,3044086433836,3044086570933,137096,普通
72,3044086433908,3044086842838,408930,普通
73,3044086434813,3044087138040,703227,普通
74,3044086570673,3044087306572,735899,普通
75,3044086572895,3044087308284,735388,普通
76,3044086843511,3044087308290,464779,普通
77,3044087139133,3044087435089,295955,普通
78,3044087308560,3044087576419,267858,普通
79,3044087310760,3044087880977,570216,普通
80,3044087312542,3044088024238,711696,普通
81,3044087549180,3044088024242,475062,普通
82,3044087716708,3044088203521,486812,普通
83,3044087881360,3044088640713,759353,普通
84,3044088025020,3044088842025,817004,普通
85,3044088025197,3044088860029,834831,普通
86,3044088204126,3044088873446,669320,普通
87,3044088641746,3044089004075,362328,普通
88,3044088842621,3044089628015,785394,普通
89,3044088992627,3044089628019,635391,普通
90,3044088995596,3044089775242,779645,普通
91,3044089004651,3044089775401,770750,普通
92,3044089628424,3044090475766,847341,普通
93,3044089775604,3044090491251,715647,普通
94,3044089776704,3044090491315,714610,普通
95,3044089788260,3044090924522,1136261,普通
96,3044090485221,3044091053735,568513,普通
97,3044090492916,3044091053770,560853,普通
98,3044090495432,3044091058167,562735,普通
99,3044091048333,3044091836657,788324,普通
100,3044091054615,3044091836668,782053,普通

=== 执行统计 ===
第一笔交易开始时间: 3044078803810 微秒
第100笔交易完成时间: 3044091836668 微秒
前100笔交易总执行时间(包含跨链延迟): 13032858 微秒
前100笔交易总执行时间(不含跨链延迟): 13032858 微秒
交易ID,开始时间,完成时间,延迟(微秒),类型
1,3044079878693,3044080209385,330692,普通
2,3044079878708,3044080210464,331755,普通
3,3044079878751,3044080329635,450883,普通
4,3044079879284,3044080329642,450358,普通
5,3044080209837,3044080705382,495544,普通
6,3044080210830,3044080711631,500801,普通
7,3044080337321,3044080711635,374314,普通
8,3044080340661,3044080711698,371037,普通
9,3044080706132,3044080811365,105232,普通
10,3044080714255,3044081170373,456117,普通
11,3044080712716,3044081170378,457662,普通
12,3044080714606,3044081170381,455775,普通
13,3044080811725,3044081453892,642166,普通
14,3044081170893,3044081460017,289123,普通
15,3044081246957,3044081460021,213063,普通
16,3044081255666,3044081532871,277205,普通
17,3044081454440,3044081644209,189769,普通
18,3044081461205,3044081841570,380364,普通
19,3044081461395,3044082123096,661700,普通
20,3044081541737,3044082123102,581364,普通
21,3044081644724,3044082128485,483760,普通
