交易ID,开始时间,完成时间,延迟(微秒)
1,614607099971,614607117917,17945,普通
2,614607099946,614607118036,18089,普通
3,614607100205,614607118064,17859,普通
4,614607100347,614607118636,18289,普通
5,614607118441,614607173936,55495,普通
6,614607118648,614607173968,55319,普通
7,614607118835,614607179410,60574,普通
8,614607118980,614607179452,60471,普通
9,614607174370,614607269091,94720,普通
10,614607174675,614607269151,94476,普通
11,614607180050,614607269173,89122,普通
12,614607179983,614607269192,89209,普通
13,614607269612,614607348253,78640,普通
14,614607269559,614607348286,78726,普通
15,614607269631,614607361701,92070,普通
16,614607269722,614607361739,92016,普通
17,614607348551,614607361761,13209,普通
18,614607348678,614607361785,13106,普通
19,614607362278,614607406431,44152,普通
20,614607362347,614607501991,139643,普通
21,614607362394,614607502039,139645,普通
22,614607362491,614607502065,139573,普通
23,614607407442,614607502084,94642,普通
24,614607502657,614607599414,96757,普通
25,614607502538,614607599447,96909,普通
26,614607502569,614607600070,97500,普通
27,614607502560,614607600096,97535,普通
28,614607599836,614607608604,8767,普通
29,614607599851,614607688186,88335,普通
30,614607600634,614607688218,87583,普通
31,614607600711,614607688803,88091,普通
32,614607608880,614607692986,84105,普通
33,614607688606,614607702040,13433,普通
34,614607688698,614607788161,99463,普通
35,614607690616,614607788376,97760,普通
36,614607693275,614607790331,97056,普通
37,614607702510,614607795913,93402,普通
38,614607788666,614607837330,48663,普通
39,614607788714,614607844190,55476,普通
40,614607791095,614607848030,56935,普通
41,614607796497,614607851269,54772,普通
42,614607837822,614607927719,89897,普通
43,614607844580,614607932720,88140,普通
44,614607849339,614608011193,161853,普通
45,614607852569,614608011225,158656,普通
46,614607928197,614608011887,83689,普通
47,614607933094,614608019207,86112,普通
48,614608011891,614608024127,12235,普通
49,614608011872,614608027308,15436,普通
50,614608012235,614608092351,80116,普通
51,614608019746,614608092739,72992,普通
52,614608025220,614608092761,67540,普通
53,614608077205,614608185369,108164,普通
54,614608092704,614608189844,97139,普通
55,614608093159,614608189880,96720,普通
56,614608093050,614608189900,96850,普通
57,614608185931,614608242262,56330,普通
58,614608190510,614608250104,59594,普通
59,614608190584,614608250177,59593,普通
60,614608190619,614608250204,59585,普通
61,614608242928,614608252457,9529,普通
62,614608250989,614608342759,91769,普通
63,614608250970,614608350529,99559,普通
64,614608251075,614608350566,99491,普通
65,614608254330,614608355960,101629,普通
66,614608343583,614608431435,87852,普通
67,614608350979,614608442293,91313,普通
68,614608351104,614608442331,91227,普通
69,614608356634,614608442960,86326,普通
70,614608431960,614608446467,14507,普通
71,614608442980,614608528091,85110,普通
72,614608443421,614608532894,89472,普通
73,614608443710,614608533783,90073,普通
74,614608446795,614608537793,90998,普通
75,614608528758,614608623647,94889,普通
76,614608533255,614608623746,90490,普通
77,614608534274,614608713100,178825,普通
78,614608612474,614608713169,100695,普通
79,614608624395,614608740665,116270,普通
80,614608624732,614608740705,115972,普通
81,614608713701,614608740726,27025,普通
82,614608733664,614608780470,46806,普通
83,614608741086,614608784234,43147,普通
84,614608741461,614608871068,129606,普通
85,614608741494,614608871112,129618,普通
86,614608781086,614608871147,90060,普通
87,614608784696,614608871165,86468,普通
88,614608871706,614608964242,92536,普通
89,614608871718,614608964273,92555,普通
90,614608871737,614608964982,93244,普通
91,614608871752,614608965006,93254,普通
92,614608964795,614608979389,14594,普通
93,614608964671,614609024823,60152,普通
94,614608965501,614609024865,59364,普通
95,614608965533,614609024891,59357,普通
96,614608979921,614609035163,55241,普通
97,614609025320,614609114618,89297,普通
98,614609025298,614609118593,93294,普通
99,614609025344,614609118629,93285,普通
100,614609111517,614609121992,10475,普通

=== 执行统计 ===
前100笔交易总执行时间(包含跨链延迟): -614607099971 微秒
前100笔交易总执行时间(不含跨链延迟): 2022020 微秒
101,614609115772,614609215662,99889,普通
