zipf_= 0.8 ctx = 0.0----------------------------------------------------------
交易ID,开始时间,完成时间,延迟(微秒),类型,区块ID,总延迟(微秒),是否中止
2,3033960988024,3033960997105,9080,普通,1,9080,0
3,3033960988023,3033961006159,18136,普通,1,18135,0
5,3033960997541,3033961013546,16004,普通,1,25522,0
1,3033960988042,3033961103616,115574,普通,1,115592,0
7,3033961013794,3033961110363,96569,普通,1,122339,0
4,3033960988076,3033961114373,126296,普通,1,126348,0
9,3033961110636,3033961119868,9232,普通,1,131844,0
8,3033961104053,3033961121339,17285,普通,1,133314,0
6,3033961006391,3033961225870,219478,普通,1,237846,0
10,3033961114746,3033961232324,117578,普通,1,244300,0
12,3033961121585,3033961238814,117229,普通,1,250790,0
11,3033961120124,3033961238836,118712,普通,1,250812,0
13,3033961226376,3033961244490,18114,普通,1,256466,0
17,3033961244749,3033961312702,67953,普通,1,324678,0
14,3033961232605,3033961315940,83335,普通,1,327916,0
15,3033961239233,3033961379223,139989,普通,1,391198,0
18,3033961312940,3033961379789,66848,普通,1,391764,0
16,3033961244602,3033961382598,137996,普通,1,394574,0
19,3033961316258,3033961394267,78009,普通,1,406243,0
20,3033961379603,3033961462549,82945,普通,1,474524,0
22,3033961382884,3033961463007,80122,普通,1,474982,0
21,3033961390332,3033961470754,80421,普通,1,482729,0
25,3033961463260,3033961473502,10241,普通,1,485478,0
23,3033961394572,3033961478938,84365,普通,1,490913,0
27,3033961473740,3033961482690,8949,普通,1,494665,0
24,3033961463006,3033961568367,105360,普通,1,580342,0
28,3033961479242,3033961581558,102315,普通,1,593534,0
26,3033961471067,3033961583038,111971,普通,1,595014,0
30,3033961568661,3033961583966,15305,普通,1,595942,0
29,3033961567151,3033961586188,19037,普通,1,598164,0
32,3033961584068,3033961700621,116553,普通,1,712597,0
33,3033961584233,3033961704154,119920,普通,1,716130,0
35,3033961700861,3033961710548,9686,普通,1,722523,0
34,3033961586502,3033961780535,194033,普通,1,792511,0
31,3033961700331,3033961785955,85624,普通,1,797931,0
37,3033961710871,3033961789916,79045,普通,1,801892,0
36,3033961704528,3033961794919,90391,普通,1,806895,0
38,3033961780786,3033961795001,14214,普通,1,806976,0
39,3033961786368,3033961865815,79447,普通,1,877791,0
42,3033961795257,3033961870563,75306,普通,1,882539,0
41,3033961795170,3033961972793,177623,普通,1,984769,0
44,3033961870873,3033961973462,102589,普通,1,985438,0
40,3033961870705,3033961980513,109808,普通,1,992489,0
43,3033961866122,3033961983370,117248,普通,1,995346,0
46,3033961973885,3033962086305,112420,普通,1,1098281,0
48,3033961990996,3033962086818,95821,普通,1,1098794,0
47,3033961980757,3033962087322,106565,普通,1,1099298,0
51,3033962087968,3033962096157,8189,普通,1,1108133,0
45,3033962079578,3033962193392,113814,普通,1,1205368,0
50,3033962087097,3033962194800,107702,普通,1,1206776,0
49,3033962086576,3033962201891,115315,普通,1,1213866,0
54,3033962195072,3033962295715,100643,普通,1,1307691,0
53,3033962193682,3033962301541,107859,普通,1,1313517,0
55,3033962202142,3033962304281,102139,普通,1,1316257,0
58,3033962304503,3033962370607,66103,普通,1,1382582,0
52,3033962204040,3033962373194,169153,普通,1,1385169,0
57,3033962301815,3033962374028,72212,普通,1,1386004,0
56,3033962310027,3033962383099,73071,普通,1,1395075,0
61,3033962374273,3033962383488,9215,普通,1,1395464,0
60,3033962373503,3033962485446,111943,普通,1,1497422,0
62,3033962383419,3033962486599,103179,普通,1,1498574,0
63,3033962383758,3033962487380,103622,普通,1,1499356,0
59,3033962371034,3033962493851,122816,普通,1,1505826,0
65,3033962486848,3033962496886,10037,普通,1,1508862,0
67,3033962494269,3033962573999,79730,普通,1,1585975,0
64,3033962485719,3033962576157,90437,普通,1,1588132,0
68,3033962497312,3033962577353,80041,普通,1,1589328,0
66,3033962487613,3033962578813,91200,普通,1,1590789,0
71,3033962577573,3033962675555,97982,普通,1,1687531,0
69,3033962574269,3033962679453,105183,普通,1,1691429,0
72,3033962579426,3033962680183,100756,普通,1,1692158,0
70,3033962576389,3033962683991,107602,普通,1,1695967,0
74,3033962679945,3033962890364,210418,普通,1,1902339,0
75,3033962680648,3033962892620,211971,普通,1,1904596,0
73,3033962692145,3033962901514,209368,普通,1,1913489,0
77,3033962890714,3033962994000,103286,普通,1,2005976,0
76,3033962891331,3033962995367,104036,普通,1,2007343,0
78,3033962892890,3033962995539,102648,普通,1,2007514,0
81,3033962995600,3033963007001,11401,普通,1,2018977,0
82,3033962995754,3033963009226,13472,普通,1,2021201,0
79,3033962901848,3033963068834,166985,普通,1,2080810,0
80,3033963078651,3033963167526,88875,普通,1,2179502,0
84,3033963009450,3033963176555,167105,普通,1,2188531,0
86,3033963167806,3033963271371,103564,普通,1,2283346,0
83,3033963169962,3033963274998,105035,普通,1,2286974,0
87,3033963176824,3033963275059,98235,普通,1,2287035,0
85,3033963184367,3033963279438,95071,普通,1,2291414,0
88,3033963271687,3033963382310,110622,普通,1,2394285,0
89,3033963275248,3033963383048,107799,普通,1,2395023,0
